id,name,breed,age,route,weight_lbs,pack_capacity_lbs,trips_completed,certification_level,years_experience,health_score,temperament,last_trip_date,days_rested,preferred_terrain,daily_rate,total_revenue_ytd,customer_rating,maintenance_cost_ytd,miles_ytd,elevation_gain_ytd
422,Play,Saanen,2,1,164,43,56,Intermediate,1,9,Calm,2026-01-26,2,Valley,29,899,4.5,328,224,11200
423,Sport,Saanen,1,1,152,39,22,Intermediate,0,10,Docile,2026-01-25,3,Valley,24,384,4.8,290,88,4400
424,Fun,Saanen,2,1,162,42,54,Intermediate,1,10,Calm,2026-01-27,1,Valley,28,868,4.6,325,216,10800
425,Joy,Saanen,1,1,146,38,16,Beginner,0,10,Docile,2026-01-24,4,Valley,21,294,4.4,275,64,3200
426,Glee,Saanen,2,1,168,44,60,Intermediate,1,9,Calm,2026-01-28,0,Valley,30,960,4.7,335,240,12000
427,Mirth,Saanen,1,1,154,40,24,Intermediate,0,10,Docile,2026-01-26,2,Valley,24,408,4.5,295,96,4800
428,Cheer,Saanen,2,1,160,41,50,Intermediate,1,9,Calm,2026-01-25,3,Valley,27,810,4.8,318,200,10000
429,Delight,Saanen,1,1,149,38,19,Beginner,0,10,Docile,2026-01-27,1,Valley,22,352,4.6,282,76,3800
430,Pleasure,Saanen,2,1,165,43,57,Intermediate,1,9,Calm,2026-01-24,4,Valley,29,899,4.4,330,228,11400
431,Happiness,Saanen,1,1,151,39,21,Intermediate,0,10,Docile,2026-01-28,0,Valley,23,368,4.7,288,84,4200
432,Bliss,Saanen,2,1,167,44,59,Intermediate,1,10,Calm,2026-01-26,2,Valley,30,930,4.5,333,236,11800
433,Ecstasy,Saanen,1,1,147,38,17,Beginner,0,10,Docile,2026-01-25,3,Valley,21,315,4.8,278,68,3400
434,Rapture,Saanen,2,1,163,42,55,Intermediate,1,9,Calm,2026-01-27,1,Valley,28,868,4.6,326,220,11000
435,Euphoria,Saanen,1,1,153,40,23,Intermediate,0,10,Docile,2026-01-24,4,Valley,24,384,4.4,292,92,4600
436,Elation,Saanen,2,1,161,42,52,Intermediate,1,9,Calm,2026-01-28,0,Valley,28,840,4.7,322,208,10400
437,Jubilation,Saanen,1,1,148,38,18,Beginner,0,10,Docile,2026-01-26,2,Valley,22,330,4.5,280,72,3600
438,Exultation,Saanen,2,1,166,43,58,Intermediate,1,9,Calm,2026-01-25,3,Valley,29,928,4.8,332,232,11600
439,Triumph,Saanen,1,1,150,39,20,Beginner,0,10,Docile,2026-01-27,1,Valley,23,345,4.6,285,80,4000
440,Victory2,Saanen,2,1,164,43,56,Intermediate,1,10,Calm,2026-01-24,4,Valley,29,899,4.4,328,224,11200
441,Success,Saanen,1,1,152,39,22,Intermediate,0,10,Docile,2026-01-28,0,Valley,24,384,4.7,290,88,4400
442,Achievement,Saanen,2,1,162,42,54,Intermediate,1,9,Calm,2026-01-26,2,Valley,28,868,4.5,325,216,10800
443,Accomplishment,Saanen,1,1,146,38,16,Beginner,0,10,Docile,2026-01-25,3,Valley,21,294,4.8,275,64,3200
444,Attainment,Saanen,2,1,168,44,60,Intermediate,1,9,Calm,2026-01-27,1,Valley,30,960,4.6,335,240,12000
445,Fulfillment,Saanen,1,1,154,40,24,Intermediate,0,10,Docile,2026-01-24,4,Valley,24,408,4.4,295,96,4800
446,Realization,Saanen,2,1,160,41,50,Intermediate,1,9,Calm,2026-01-28,0,Valley,27,810,4.7,318,200,10000
447,Completion,Saanen,1,1,149,38,19,Beginner,0,10,Docile,2026-01-26,2,Valley,22,352,4.5,282,76,3800
448,Conclusion,Saanen,2,1,165,43,57,Intermediate,1,10,Calm,2026-01-25,3,Valley,29,899,4.8,330,228,11400
449,Finale,Saanen,1,1,151,39,21,Intermediate,0,10,Docile,2026-01-27,1,Valley,23,368,4.6,288,84,4200
450,Ending,Saanen,2,1,167,44,59,Intermediate,1,9,Calm,2026-01-24,4,Valley,30,930,4.4,333,236,11800
451,Steady,Boer,3,2,228,62,96,Advanced,2,8,Steady,2026-01-28,0,Mountain,44,1760,4.7,488,480,36000
452,Stable,Boer,4,2,252,69,135,Advanced,3,8,Strong,2026-01-26,2,Mountain,51,2142,4.5,542,675,50625
453,Solid,Boer,3,2,224,61,93,Advanced,2,9,Steady,2026-01-25,3,Mountain,43,1677,4.8,480,465,34875
454,Firm,Boer,4,2,248,68,131,Advanced,3,9,Strong,2026-01-27,1,Mountain,50,2050,4.6,535,655,49125
455,Strong,Boer,3,2,232,64,100,Advanced,2,8,Steady,2026-01-24,4,Mountain,45,1845,4.4,495,500,37500
456,Sturdy,Boer,4,2,255,70,138,Advanced,3,8,Strong,2026-01-28,0,Mountain,52,2184,4.7,548,690,51750
457,Robust,Boer,3,2,220,60,90,Advanced,2,8,Steady,2026-01-26,2,Mountain,42,1638,4.5,472,450,33750
458,Hardy,Boer,4,2,250,68,133,Advanced,3,8,Strong,2026-01-25,3,Mountain,50,2100,4.8,538,665,49875
459,Tough,Boer,3,2,226,62,95,Advanced,2,9,Steady,2026-01-27,1,Mountain,44,1760,4.6,485,475,35625
460,Rugged,Boer,4,2,254,70,137,Advanced,3,9,Strong,2026-01-24,4,Mountain,52,2132,4.4,545,685,51375
461,Durable,Boer,3,2,222,61,92,Advanced,2,8,Steady,2026-01-28,0,Mountain,43,1677,4.7,478,460,34500
462,Lasting,Boer,4,2,246,67,129,Advanced,3,8,Strong,2026-01-26,2,Mountain,49,1960,4.5,530,645,48375
463,Enduring,Boer,3,2,230,63,98,Advanced,2,8,Steady,2026-01-25,3,Mountain,45,1800,4.8,492,490,36750
464,Permanent,Boer,4,2,251,69,134,Advanced,3,8,Strong,2026-01-27,1,Mountain,51,2091,4.6,540,670,50250
465,Eternal,Boer,3,2,218,60,88,Advanced,2,9,Steady,2026-01-24,4,Mountain,41,1599,4.4,468,440,33000
466,Everlasting,Boer,4,2,249,68,132,Advanced,3,9,Strong,2026-01-28,0,Mountain,50,2100,4.7,536,660,49500
467,Timeless,Boer,3,2,225,62,95,Advanced,2,8,Steady,2026-01-26,2,Mountain,44,1760,4.5,482,475,35625
468,Ageless,Boer,4,2,253,69,136,Advanced,3,8,Strong,2026-01-25,3,Mountain,51,2142,4.8,542,680,51000
469,Immortal,Boer,3,2,221,60,91,Advanced,2,8,Steady,2026-01-27,1,Mountain,42,1638,4.6,475,455,34125
470,Deathless,Boer,4,2,247,67,130,Advanced,3,8,Strong,2026-01-24,4,Mountain,49,1960,4.4,532,650,48750
471,Undying,Boer,3,2,229,63,97,Advanced,2,9,Steady,2026-01-28,0,Mountain,45,1755,4.7,490,485,36375
472,Imperishable,Boer,4,2,256,70,140,Advanced,3,9,Strong,2026-01-26,2,Mountain,53,2226,4.5,550,700,52500
473,Indestructible,Boer,3,2,223,61,93,Advanced,2,8,Steady,2026-01-25,3,Mountain,43,1677,4.8,478,465,34875
474,Unbreakable,Boer,4,2,250,68,133,Advanced,3,8,Strong,2026-01-27,1,Mountain,50,2100,4.6,538,665,49875
475,Invincible,Boer,3,2,227,62,96,Advanced,2,8,Steady,2026-01-24,4,Mountain,44,1760,4.4,485,480,36000
476,Unconquerable,Boer,4,2,254,70,137,Advanced,3,8,Strong,2026-01-28,0,Mountain,52,2132,4.7,545,685,51375
477,Unbeatable,Boer,3,2,219,60,89,Advanced,2,9,Steady,2026-01-26,2,Mountain,41,1599,4.5,470,445,33375
478,Invulnerable,Boer,4,2,248,68,131,Advanced,3,9,Strong,2026-01-25,3,Mountain,50,2050,4.8,535,655,49125
479,Impregnable,Boer,3,2,231,63,99,Advanced,2,8,Steady,2026-01-27,1,Mountain,45,1845,4.6,492,495,37125
480,Impenetrable,Boer,4,2,252,69,135,Advanced,3,8,Strong,2026-01-24,4,Mountain,51,2142,4.4,542,675,50625
481,Unassailable,Boer,3,2,224,61,93,Advanced,2,8,Steady,2026-01-28,0,Mountain,43,1677,4.7,480,465,34875
482,Inviolable,Boer,4,2,246,67,129,Advanced,3,8,Strong,2026-01-26,2,Mountain,49,1960,4.5,530,645,48375
483,Sacrosanct,Boer,3,2,228,62,96,Advanced,2,9,Steady,2026-01-25,3,Mountain,44,1760,4.8,488,480,36000
484,Sacred,Boer,4,2,251,69,134,Advanced,3,9,Strong,2026-01-27,1,Mountain,51,2091,4.6,540,670,50250
485,Holy,Boer,3,2,220,60,90,Advanced,2,8,Steady,2026-01-24,4,Mountain,42,1638,4.4,472,450,33750
486,Divine,Boer,4,2,255,70,138,Advanced,3,8,Strong,2026-01-28,0,Mountain,52,2184,4.7,548,690,51750
487,Blessed2,Boer,3,2,226,62,95,Advanced,2,8,Steady,2026-01-26,2,Mountain,44,1760,4.5,485,475,35625
488,Hallowed,Boer,4,2,249,68,132,Advanced,3,8,Strong,2026-01-25,3,Mountain,50,2100,4.8,536,660,49500
489,Consecrated,Boer,3,2,222,61,92,Advanced,2,9,Steady,2026-01-27,1,Mountain,43,1677,4.6,478,460,34500
490,Sanctified,Boer,4,2,253,69,136,Advanced,3,9,Strong,2026-01-24,4,Mountain,51,2142,4.4,542,680,51000
491,Venerable,Boer,3,2,230,63,98,Advanced,2,8,Steady,2026-01-28,0,Mountain,45,1800,4.7,492,490,36750
492,Revered,Boer,4,2,247,67,130,Advanced,3,8,Strong,2026-01-26,2,Mountain,49,1960,4.5,532,650,48750
493,Respected,Boer,3,2,218,60,88,Advanced,2,8,Steady,2026-01-25,3,Mountain,41,1599,4.8,468,440,33000
494,Esteemed,Boer,4,2,250,68,133,Advanced,3,8,Strong,2026-01-27,1,Mountain,50,2100,4.6,538,665,49875
495,Honored,Boer,3,2,225,62,95,Advanced,2,9,Steady,2026-01-24,4,Mountain,44,1760,4.4,482,475,35625
496,Valued,Boer,4,2,254,70,137,Advanced,3,9,Strong,2026-01-28,0,Mountain,52,2132,4.7,545,685,51375
497,Prized,Boer,3,2,221,60,91,Advanced,2,8,Steady,2026-01-26,2,Mountain,42,1638,4.5,475,455,34125
498,Cherished,Boer,4,2,248,68,131,Advanced,3,8,Strong,2026-01-25,3,Mountain,50,2050,4.8,535,655,49125
499,Beloved,Boer,3,2,229,63,97,Advanced,2,8,Steady,2026-01-27,1,Mountain,45,1755,4.6,490,485,36375
500,Dear,Boer,4,2,252,69,135,Advanced,3,8,Strong,2026-01-24,4,Mountain,51,2142,4.4,542,675,50625
